id	model_list	algorithm	vocab_size	added_tokens	pre_tokenizer	size_raw	size_xz
claude	claude	BPE	64739	5	Sequence	1766567	563864
deepseek_v3	deepseek-v3,deepseek-v3.2,deepseek-chat	BPE	128000	818	Sequence	7847652	1321664
deepseek_v4	deepseek-v4-pro,deepseek-v4-flash	BPE	128000	1283	Sequence	6367146	1313148
glm	glm-4,glm-4-9b,glm-4-9b-chat,glm-4-9b-chat-hf,glm4,glm-4-9b-hf	BPE	151329	14	Sequence	19967863	2032016
gpt_4	gpt-4,gpt-3.5-turbo,gpt-4-turbo	BPE	100261	5	Sequence	2730645	895108
gpt_4o	gpt-4o,gpt-4o-mini,o1,o3	BPE	200000	2	Sequence	6730262	1969652
gpt_5	gpt-5,gpt-5.4,gpt-5.5	BPE	200000	2	Sequence	6730262	1969640
llama3	llama-3,llama-3.1,llama-3.2,llama-3.3	BPE	128000	256	Sequence	9085698	1601956
mistral_v3	mistral,mistral-nemo,mixtral	BPE	32768	771	Metaspace	1961548	334260
o200k_harmony	gpt-4o,gpt-5,o1,o3	BPE	201089	1091	ByteLevel	6903031	1972628
qwen3	qwen3,qwen3-0.6b,qwen3-1.7b,qwen3-4b,qwen3-8b,qwen3-14b,qwen3-32b,qwen3-235b-a22b,qwen3-coder,qwen3-moe	BPE	151643	26	Sequence	11422654	1420820
